Product Name,Category,Price,Rating,Reviews_Text,No_of_Reviews
JK Taximax 4 Wheeler Tyre,Tyres,"₹3,099",4.2,(6),6
JK TYRE UX Royale 4 Wheeler Tyre,Tyres,"₹4,183",3.9,(55),55
TVS Eurogrip ATT 52 2.75 - 18 42 P Front Two Wheeler Tyre,Tyres,₹884,4.2,(734),734
CEAT 105918 Milaze TL 53J SW 90/100-10 Front & Rear Two Wheeler Tyre,Tyres,"₹1,082",4.3,"(21,317)",21317
MRF Nylogrip FE 90/100 R10 Front & Rear Two Wheeler Tyre,Tyres,"₹1,215",4.3,(370),370
Goodyear Kelly 82T VFM 7 4 Wheeler Tyre,Tyres,"₹3,670",4.2,(951),951
JK TYRE Blaze BA21 90/90-12 Front & Rear Two Wheeler Tyre,Tyres,₹880,4.2,"(3,794)",3794
jk tyres 175/65 R14 TAXIMAX TL 4 Wheeler Tyre,Tyres,"₹3,799",,,0
JK TYRE 80/100-18 BLAZE RYDR BF34 TUBELESS BIKE FRONT TYRE Front Two Wheeler Tyre,Tyres,"₹1,199",4.2,(780),780
Apollo Amazer 4G Life 165/80 R14 85T Tubeless Car Tyre 4 Wheeler Tyre,Tyres,"₹6,219",4.4,(399),399
JK TYRE ULTIMA NEO 4 Wheeler Tyre,Tyres,"₹2,324",4,(737),737
JK TYRE Ultima Hi Life 74 T 4 Wheeler Tyre,Tyres,"₹2,542",4.4,"(1,152)",1152
CEAT 130/70R17 130/70R17 Rear Two Wheeler Tyre,Tyres,"₹2,341",4.3,(399),399
Continental 175/65 R15 ULTRACONTACT UC6 84H TUBELESS TYRE 4 Wheeler Tyre,Tyres,"₹5,804",,,0
Apollo Amazer 4G Life 165/80 R14 85T Tubeless Car Tyre 4 Wheeler Tyre,Tyres,"₹3,353",4.4,(550),550
"CEAT 90/100-10 53j 43,4X9X43.4 Front & Rear Two Wheeler Tyre",Tyres,"₹1,086",4.3,"(1,317)",1317
Goodyear Kelly VFM6 4 Wheeler Tyre,Tyres,"₹4,304",4,(80),80
JK RANGER H/T 4 Wheeler Tyre,Tyres,"₹10,855",4.6,(21),21
GOODYEAR INDIA LIMITED ASSURANCE TRIPLEMAX 4 Wheeler Tyre,Tyres,"₹4,900",,,0
Apollo ACTIZIP S2 90/100-10 REAR AND FRONT TUBELESS TYRE 10 Front & Rear Two Wheeler Tyre,Tyres,"₹1,059",4.3,(229),229
Goodyear Kelly VFM3 4 Wheeler Tyre,Tyres,"₹2,892",4.1,"(1,098)",1098
JK TYRE Ranger X A/T 4 Wheeler Tyre,Tyres,"₹11,061",4.5,(42),42
